W,L,run_id,goodput,retransmissions,avg_rtt,utilization,buffer_events
32,1024,1,1073243426.9244307,0,7.632937500000004e-06,107.32434269244308,0
32,1024,2,7307353515.08056,0,1.1210625e-06,730.735351508056,0
32,1024,3,4895587054.363455,0,1.6733437500000007e-06,489.55870543634546,0
32,1024,4,4558471142.643499,0,1.797093750000002e-06,455.84711426434995,0
32,1024,5,6998344812.857065,0,1.1705625000000002e-06,699.8344812857066,0
32,1024,6,7586502286.276553,0,1.0798125e-06,758.6502286276553,0
32,1024,7,5019319509.06619,0,1.6320937500000006e-06,501.931950906619,0
32,1024,8,7098402382.886542,0,1.1540625e-06,709.8402382886543,0
32,1024,9,5070581636.008431,0,1.6155937500000005e-06,507.0581636008432,0
32,2048,0,6405316913.45355,0,2.557875e-06,640.5316913453551,0
32,2048,1,2827112429.2262063,0,5.795312500000001e-06,282.7112429226206,0
32,2048,2,6912715574.073096,0,2.3701250000000005e-06,691.2715574073096,0
32,2048,3,5483954646.249111,0,2.987625e-06,548.3954646249111,0
32,2048,4,4085594501.5039816,0,4.0101875e-06,408.5594501503982,0
32,2048,5,6387213098.776862,0,2.5651250000000003e-06,638.7213098776863,0
32,2048,6,7421550308.589547,0,2.207625e-06,742.1550308589548,0
32,2048,7,4875918382.530736,0,3.3601875000000004e-06,487.59183825307366,0
32,2048,8,6553272336.38318,0,2.5001250000000005e-06,655.327233638318,0
32,2048,9,4972099463.232365,0,3.2951875e-06,497.2099463232365,0
32,4096,0,4818380663.541956,0,6.800624999999996e-06,481.83806635419563,0
32,4096,1,891719051.8953918,6,3.674700000000004e-05,89.17190518953919,0
32,4096,2,660368898.092029,8,4.9620749999999926e-05,66.0368898092029,0
32,4096,3,143294364.4641533,48,0.00022867612499999807,14.32943644641533,0
32,4096,4,591809966.294393,8,5.536912499999995e-05,59.1809966294393,0
32,4096,5,2529200073.325809,11,1.2955874999999994e-05,252.9200073325809,0
32,4096,6,578879842.419184,29,5.6605874999999964e-05,57.887984241918396,0
32,4096,7,647974708.2625775,14,5.0569874999999976e-05,64.79747082625776,0
32,4096,8,663825433.845111,8,4.9362374999999904e-05,66.38254338451111,0
32,4096,9,305119466.6368721,16,0.0001073939999999992,30.511946663687215,0
64,128,0,7575978267.152182,0,1.351640625000001e-07,757.5978267152183,0
64,128,1,1408384417.426436,0,7.270742187500002e-07,140.8384417426436,0
64,128,2,1536150014.6498663,0,6.666015625000009e-07,153.61500146498665,0
64,128,3,1276186396.1209643,0,8.023906250000015e-07,127.61863961209644,0
64,128,4,2169940483.5812435,0,4.7190234375000126e-07,216.99404835812436,0
64,128,5,7637783345.958857,0,1.3407031250000006e-07,763.7783345958858,0
64,128,6,7736969482.320994,0,1.3235156250000005e-07,773.6969482320995,0
64,128,7,5164076197.230266,0,1.9829296875000003e-07,516.4076197230266,0
64,128,8,3224839769.2184663,0,3.175351562500001e-07,322.48397692184665,0
64,128,9,3764057205.2150908,0,2.720468750000002e-07,376.4057205215091,0
64,256,0,7431649373.476214,0,2.75578125e-07,743.1649373476215,0
64,256,1,1405725991.109109,0,1.4568984375000003e-06,140.57259911091091,0
64,256,2,7492825701.709255,0,2.73328125e-07,749.2825701709255,0
64,256,3,7126189311.150978,0,2.8739062500000013e-07,712.6189311150979,0
64,256,4,2132656464.826424,0,9.60304687500003e-07,213.2656464826424,0
64,256,5,7539373022.7207365,0,2.71640625e-07,753.9373022720737,0
64,256,6,7715109776.914474,0,2.6545312500000004e-07,771.5109776914474,0
64,256,7,5154328634.066732,0,3.9733593750000007e-07,515.4328634066733,0
64,256,8,3204655199.8141823,0,6.390703125000002e-07,320.46551998141825,0
64,256,9,3674572469.8626246,0,5.573437500000008e-07,367.4572469862625,0
64,512,0,7158883609.153967,0,5.721562500000001e-07,715.8883609153968,0
64,512,1,1677388806.0608754,0,2.441890625000003e-06,167.73888060608755,0
64,512,2,7266840383.655818,0,5.6365625e-07,726.6840383655818,0
64,512,3,6640928205.907685,0,6.1678125e-07,664.0928205907686,0
64,512,4,6314592667.533843,0,6.4865625e-07,631.4592667533844,0
64,512,5,7349969158.302023,0,5.572812500000001e-07,734.9969158302024,0
64,512,6,7671758852.794849,0,5.3390625e-07,767.175885279485,0
64,512,7,5134943487.884664,0,7.97671875e-07,513.4943487884665,0
64,512,8,3165034711.741624,0,1.294140625e-06,316.5034711741624,0
64,512,9,3507787828.5071983,0,1.1676875000000002e-06,350.77878285071984,0
64,1024,0,6669312573.144046,0,1.2283125000000006e-06,666.9312573144047,0
64,1024,1,1854127765.5180209,0,4.418250000000002e-06,185.4127765518021,0
64,1024,2,7307353515.08056,0,1.1210625e-06,730.735351508056,0
64,1024,3,5844905239.68784,0,1.4015625000000019e-06,584.490523968784,0
64,1024,4,5370702724.851454,0,1.5253125000000032e-06,537.0702724851454,0
64,1024,5,6998344812.857065,0,1.1705625000000002e-06,699.8344812857066,0
64,1024,6,7586502286.276553,0,1.0798125e-06,758.6502286276553,0
64,1024,7,6022145646.680442,0,1.3603125000000019e-06,602.2145646680442,0
64,1024,8,7098402382.886542,0,1.1540625e-06,709.8402382886543,0
64,1024,9,6096088554.020735,0,1.3438125000000019e-06,609.6088554020736,0
64,2048,0,2421720694.3379498,37,6.765437499999999e-06,242.172069433795,0
64,2048,1,549827486.7599965,7,2.9798437500000303e-05,54.98274867599966,0
64,2048,2,244764953.97305235,62,6.693768749999975e-05,24.47649539730524,0
64,2048,3,654545091.3612518,7,2.5031125000000132e-05,65.45450913612518,0
64,2048,4,280381408.7309018,34,5.843468749999994e-05,28.03814087309018,0
64,2048,5,338812094.89281946,61,4.835718750000041e-05,33.88120948928195,0
64,2048,6,632434258.142335,27,2.590625000000021e-05,63.24342581423351,0
64,2048,7,1110939711.653374,10,1.4747874999999996e-05,111.09397116533741,0
64,2048,8,1226295674.3026354,2,1.3360562499999996e-05,122.62956743026355,0
64,2048,9,106826671.94801705,120,0.00015336993749999646,10.682667194801706,0
64,4096,0,111868726.31030184,139,0.0002929147499999956,11.186872631030186,0
64,4096,1,169842994.4883202,83,0.00019293112499999755,16.984299448832022,0
64,4096,2,168996179.04528585,78,0.00019389787499999732,16.899617904528586,0
64,4096,3,47449986.768361054,288,0.0006905797500000403,4.744998676836106,0
64,4096,4,201541018.7453221,39,0.00016258724999999814,20.154101874532213,0
64,4096,5,219097479.92431334,96,0.00014955899999999827,21.909747992431335,0
64,4096,6,187216695.69788343,108,0.00017502712499999784,18.721669569788343,0
64,4096,7,235320519.89834952,90,0.00013924837499999858,23.532051989834954,0
64,4096,8,270801245.0014541,136,0.00012100387499999879,27.080124500145413,0
64,4096,9,416758478.04555714,16,7.862587499999947e-05,41.67584780455572,0
