W,L,seed,goodput,goodput_mbps,total_time,retransmissions,buffer_events,delayed_acks
4,256,2,4048441.4258336592,4.048441425833659,207.20586313713576,2284,14,4
4,512,2,4684056.146816195,4.684056146816195,179.0885449932497,3797,57,17
4,1024,2,4341981.628369898,4.341981628369898,193.1976852502096,6565,172,51
4,2048,2,3869157.9706329196,3.8691579706329198,216.80706922978865,10303,704,211
4,4096,2,3384764.3608857817,3.384764360885782,247.83432775818784,18848,3828,1148
8,128,2,4637257.740261204,4.637257740261203,180.89587574934953,980,3,0
8,256,2,5257394.406754643,5.257394406754643,159.55827832171786,2170,10,3
8,512,2,6437219.180796525,6.437219180796525,130.31415840282162,3522,56,16
8,1024,2,6024036.103459475,6.0240361034594745,139.25228627336085,6189,234,70
8,2048,2,5502286.55689436,5.50228655689436,152.4567634429923,9351,786,235
8,4096,2,4596652.806254056,4.596652806254056,182.49383526610347,15467,2756,826
16,128,2,6080884.739317776,6.080884739317776,137.9504522715412,915,3,0
16,256,2,6571679.558956378,6.571679558956378,127.64785508397736,1882,11,3
16,512,2,7355566.9191192165,7.355566919119217,114.04434345088501,3160,46,13
16,1024,2,7249014.268503299,7.2490142685032986,115.72067165667191,5330,223,66
16,2048,2,6349626.640810654,6.349626640810653,132.11183073480728,10125,928,278
16,4096,2,5328880.368196707,5.328880368196708,157.41783302293769,16377,3424,1027
32,128,2,6199492.190013856,6.1994921900138555,135.31121167492353,891,3,0
32,256,2,7570558.222089595,7.570558222089595,110.80567316057983,2006,13,3
32,512,2,8664123.066319916,8.664123066319917,96.8200467120449,3217,54,16
32,1024,2,7687108.476232353,7.6871084762323525,109.12566182637597,5494,229,68
32,2048,2,6948326.228608554,6.948326228608554,120.7284707712964,8733,676,202
32,4096,2,6522577.525303446,6.522577525303446,128.60878950779113,13916,3199,959
64,128,2,7002162.908294306,7.002162908294306,119.80024043804238,938,2,0
64,256,2,8345135.145525127,8.345135145525127,100.52093649433807,1838,12,3
64,512,2,8697375.286233744,8.697375286233743,96.44987969275671,3045,52,15
64,1024,2,8909838.808346849,8.90983880834685,94.14994121040043,4959,187,56
64,2048,2,8049510.68286589,8.04951068286589,104.21264509724683,8542,640,192
64,4096,2,6641936.831665334,6.641936831665334,126.29761788771367,14961,3096,928
2,128,3,2202692.4178298763,2.2026924178298763,380.8342886232194,1209,2,0
2,256,3,2681641.0785021684,2.6816410785021683,312.8162104633876,2477,12,3
2,512,3,3055527.0402900623,3.0555270402900625,274.5388238882568,3784,42,12
2,1024,3,3038217.5048113274,3.0382175048113274,276.10294479298415,7398,212,63
2,2048,3,2727587.6380370283,2.7275876380370283,307.5467817428978,11943,837,251
2,4096,3,2152186.785436857,2.152186785436857,389.7713737842348,21523,3421,1026
4,128,3,3180969.8844078546,3.1809698844078547,263.7122734521443,1062,3,0
4,256,3,4037233.576234318,4.037233576234318,207.7810917203452,2199,12,3
4,512,3,4676523.915254454,4.676523915254454,179.3769935108643,3633,56,16
4,1024,3,4308543.353322696,4.308543353322696,194.69707769171706,6940,177,53
4,2048,3,4082548.593843199,4.082548593843199,205.47478632956566,10314,832,249
4,4096,3,3368309.4629500196,3.3683094629500197,249.04505041092995,18970,2880,864
8,128,3,4480982.096157291,4.480982096157291,187.2046756712938,1009,2,0
8,256,3,5285632.727246153,5.285632727246153,158.7058434226571,2176,11,3
8,512,3,6401967.458608268,6.401967458608268,131.03171883075473,3373,41,12
8,1024,3,6128449.910189819,6.128449910189818,136.8797676889257,6232,169,50
8,2048,3,5488610.607992324,5.488610607992324,152.83663934520698,9307,698,209
8,4096,3,4449196.735960958,4.449196735960958,188.54207844302462,17614,3412,1023
16,128,3,5657932.918095346,5.657932918095345,148.26276877852933,912,3,0
16,256,3,6921580.854545966,6.921580854545966,121.19497230882621,1968,10,3
16,512,3,7457905.59456257,7.45790559456257,112.47940716916543,3050,46,13
16,1024,3,7307629.884235895,7.3076298842358955,114.7924584699617,5904,197,59
16,2048,3,6297034.7232981045,6.297034723298104,133.215209517003,9190,684,205
16,4096,3,5373071.008566583,5.3730710085665825,156.1231553914992,15479,3828,1148
32,128,3,6746878.7922252435,6.746878792225243,124.33316587318274,870,2,0
32,256,3,7578596.4129647985,7.5785964129647985,110.68814781652054,2087,13,3
32,512,3,7917718.436395602,7.917718436395602,105.94728857040238,2931,41,12
32,1024,3,7955640.3735595485,7.9556403735595485,105.44227247726548,5798,204,61
32,2048,3,7656178.41925967,7.65617841925967,109.56651661745303,9587,941,282
32,4096,3,6442851.489588007,6.442851489588008,130.20023841239302,14406,3721,1116
64,128,3,7129305.881697406,7.129305881697406,117.66374089145924,843,3,0
64,256,3,8189808.745776004,8.189808745776004,102.4273980064129,1820,14,4
64,512,3,9410121.084068688,9.410121084068688,89.14452773835072,2967,54,16
64,1024,3,8846713.307374988,8.846713307374987,94.82174575508068,5320,183,54
64,2048,3,7956078.708431411,7.95607870843141,105.4364632053001,9106,654,196
64,4096,3,6768220.365948722,6.7682203659487215,123.94111814389991,15636,2850,855
2,128,4,2159604.7936692075,2.1596047936692075,388.43255139046084,1225,2,0
2,256,4,2872261.242101949,2.872261242101949,292.0558853435328,2425,14,4
2,512,4,3053716.9434727244,3.0537169434727245,274.7015573244445,3962,58,17
2,1024,4,2986501.1756780334,2.9865011756780335,280.88413519862456,7008,166,49
2,2048,4,2580850.9456770397,2.5808509456770397,325.0326414259232,12471,917,275
2,4096,4,2161206.4819181478,2.1612064819181476,388.14468076899396,18733,3586,1075
4,128,4,3166346.2237376375,3.1663462237376376,264.93021947858466,1122,2,0
4,256,4,4115961.2970090453,4.115961297009045,203.8067754936318,2133,11,3
4,512,4,4685959.294285534,4.685959294285534,179.01581027880027,3990,47,14
4,1024,4,4413392.66816958,4.41339266816958,190.0716439871893,6209,199,59
4,2048,4,3823150.0758491764,3.8231500758491763,219.41613155577656,10629,715,214
4,4096,4,3557566.341084234,3.5575663410842338,235.79624933834452,18333,3664,1099
8,128,4,4315538.365290019,4.315538365290019,194.3814951911859,943,3,0
8,256,4,5763445.558646838,5.763445558646838,145.54849030220572,1939,14,4
8,512,4,5925991.816054077,5.9259918160540765,141.55618604255343,3539,41,12
8,1024,4,5755882.720046928,5.7558827200469285,145.73973112384067,5682,175,52
8,2048,4,5091475.131077861,5.091475131077861,164.75790972240569,10033,641,192
8,4096,4,4733678.344363135,4.733678344363136,177.21119581327605,15546,2697,809
16,128,4,5759168.674889463,5.759168674889463,145.65657777267663,907,3,0
16,256,4,6463994.809634163,6.463994809634163,129.7743616300144,1887,13,3
16,512,4,7235707.42856016,7.23570742856016,115.93348795294307,3389,50,15
16,1024,4,7145856.184484824,7.145856184484824,117.39122343678642,5261,199,59
16,2048,4,6790305.683757485,6.7903056837574844,123.53800242109392,9265,770,231
16,4096,4,5784198.80125072,5.784198801250721,145.0262739618515,16030,3182,954
32,128,4,6326283.860794082,6.326283860794082,132.5992981754545,945,3,0
32,256,4,7461289.270244936,7.4612892702449365,112.42839804446587,1973,11,3
32,512,4,8426219.230051987,8.426219230051986,99.55364049966981,2897,47,14
32,1024,4,8057736.949306486,8.057736949306486,104.10625281980683,5773,197,59
32,2048,4,7390732.854890241,7.390732854890241,113.50170767503107,9284,746,223
32,4096,4,6071445.478201499,6.0714454782014995,138.16492349503724,15969,2852,855
64,128,4,6798676.947965587,6.798676947965586,123.38588911053023,853,3,0
64,256,4,7640831.479020385,7.6408314790203855,109.78658570121331,1775,13,3
64,512,4,9304781.824201372,9.304781824201372,90.15373125871217,3007,53,15
64,1024,4,8535139.710365843,8.535139710365844,98.28319494070048,4942,217,65
64,2048,4,8076564.34371858,8.07656434371858,103.8635692480319,8313,679,203
64,4096,4,6765209.556155228,6.765209556155228,123.99627728261198,14079,3182,954
2,128,5,2018832.5790976665,2.0188325790976664,415.5177644175604,1291,3,0
2,256,5,2758410.9856499564,2.7584109856499563,304.1101577553142,2583,13,3
2,512,5,3246579.7934426535,3.2465797934426535,258.38293015138777,3945,54,16
2,1024,5,2923994.814532392,2.923994814532392,286.88860726798225,6726,161,48
2,2048,5,2495668.7482606904,2.4956687482606905,336.1266596717326,11616,845,253
2,4096,5,2160885.7485752855,2.1608857485752857,388.2022918393892,18993,3734,1120
4,128,5,3126694.6570799267,3.1266946570799266,268.28996496364834,1060,3,0
4,256,5,4043388.1198448073,4.043388119844807,207.46482285064363,2390,10,3
4,512,5,4971259.491774895,4.971259491774895,168.74210678157547,3816,51,15
4,1024,5,4695856.108852372,4.695856108852372,178.63852310521727,6513,174,52
4,2048,5,4014746.3169857813,4.014746316985781,208.9449080383753,10636,643,192
4,4096,5,3530492.244049364,3.5304922440493636,237.60448742350246,18450,3766,1129
8,128,5,4610225.383996482,4.610225383996482,181.9565704774316,962,2,0
8,256,5,5514522.137065049,5.5145221370650495,152.1184935248914,2115,11,3
8,512,5,5998274.535296949,5.998274535296948,139.85035114076712,3324,42,12
8,1024,5,5834556.406539481,5.834556406539481,143.77456340293307,5973,237,71
8,2048,5,5112150.748252722,5.112150748252723,164.09156171435546,10022,808,242
8,4096,5,4510411.557396161,4.510411557396162,185.9832055956043,15601,3324,997
16,128,5,5570162.710216984,5.570162710216985,150.59897594397606,960,2,0
16,256,5,6517610.992413557,6.517610992413557,128.70679164135856,2019,13,3
16,512,5,7621450.45883598,7.62145045883598,110.06576825904065,3040,59,17
16,1024,5,6882497.608514162,6.882497608514162,121.88319527525397,6046,222,66
16,2048,5,6339110.319543045,6.339110319543045,132.33099878603616,10149,782,234
16,4096,5,5531204.74690572,5.53120474690572,151.65969049858037,16476,3525,1057
32,128,5,6678397.710555109,6.678397710555109,125.6080928924303,975,3,0
32,256,5,7352175.543811295,7.3521755438112955,114.09694926369275,1932,12,3
32,512,5,8389760.035351617,8.389760035351618,99.98626855420461,3112,59,17
32,1024,5,8081631.901006302,8.081631901006302,103.79844198243518,5795,166,49
32,2048,5,7291452.299719418,7.291452299719419,115.04714911627141,9789,933,279
32,4096,5,6121636.617200183,6.121636617200183,137.03211289004358,14761,3257,977
64,128,5,7099345.533185857,7.099345533185858,118.16030028102578,896,3,0
64,256,5,8071426.923276302,8.071426923276302,103.92967785917772,1843,13,3
64,512,5,9425021.503162658,9.425021503162657,89.00359534654771,2988,57,17
64,1024,5,8839995.520227544,8.839995520227545,94.89380374464346,5342,223,66
64,2048,5,7753672.8951914525,7.753672895191452,108.18883016334506,8335,898,269
64,4096,5,7001317.283658442,7.001317283658442,119.8147100057812,13989,3142,942
2,128,6,1998672.956895542,1.9986729568955421,419.70888589145096,1275,2,0
2,256,6,2743713.385688508,2.743713385688508,305.73922348288437,2616,11,3
2,512,6,3316707.3237408833,3.316707323740883,252.91975387621983,3966,50,15
2,1024,6,2957151.598448997,2.9571515984489967,283.67189576617443,6565,171,51
2,2048,6,2585689.3599451683,2.5856893599451682,324.4244312541042,12445,787,236
2,4096,6,2220403.769974582,2.220403769974582,377.7965122125526,19477,3141,942
4,128,6,3099880.887305768,3.099880887305768,270.61065585945397,1083,2,0
4,256,6,4005586.332293633,4.005586332293633,209.42272376879745,2146,11,3
4,512,6,4821710.046583079,4.821710046583079,173.97578699168392,3791,51,15
4,1024,6,4533742.614217954,4.533742614217954,185.02611889993648,6328,190,57
4,2048,6,3960656.276770914,3.960656276770914,211.79843474928236,11315,686,205
4,4096,6,3498186.6342213657,3.4981866342213657,239.79875510178877,16667,3345,1003
8,128,6,4343430.5214481065,4.343430521448107,193.13323785373285,1043,2,0
8,256,6,5649583.076388981,5.649583076388981,148.48189479783187,2028,13,3
8,512,6,6479365.079933916,6.479365079933916,129.46651248250942,3627,43,12
8,1024,6,5804298.289222158,5.8042982892221575,144.5240678890776,5606,215,64
8,2048,6,5395354.786727104,5.395354786727104,155.47833889694294,10654,737,221
8,4096,6,4453769.452679053,4.453769452679053,188.34850095246946,15271,3033,909
16,128,6,6068451.480640717,6.068451480640717,138.23309005206576,962,3,0
16,256,6,6812035.88327052,6.81203588327052,123.14391972892183,2072,11,3
16,512,6,7868816.5128509635,7.868816512850963,106.60571365846616,3145,42,12
16,1024,6,7493054.702825091,7.4930547028250905,111.9517784494121,5299,167,50
16,2048,6,6478401.141380916,6.478401141380917,129.48577614957492,8741,860,258
16,4096,6,5533229.004386903,5.533229004386903,151.60420783866473,16027,3336,1000
32,128,6,6777177.630578741,6.777177630578741,123.77730756458938,858,3,0
32,256,6,7574520.137574251,7.57452013757425,110.74771533562074,1904,11,3
32,512,6,7897891.356159101,7.897891356159101,106.2132615113554,3264,54,16
32,1024,6,7880136.373171043,7.880136373171043,106.45257394986355,5486,205,61
32,2048,6,7138206.636753089,7.138206636753089,117.51702390918278,8875,954,286
32,4096,6,6266407.4270997,6.2664074270997,133.86630374084254,13960,3022,906
64,128,6,6677891.985170871,6.677891985170871,125.61760535552233,831,3,0
64,256,6,8245200.084750467,8.245200084750467,101.73928969309995,1829,11,3
64,512,6,8880138.166873917,8.880138166873918,94.46483649649169,3234,54,16
64,1024,6,8793367.909889707,8.793367909889707,95.39698652396334,5664,191,57
64,2048,6,7658866.387012768,7.658866387012767,109.52806298102634,9358,784,235
64,4096,6,6538061.182409867,6.538061182409867,128.30421383282373,13406,2917,875
2,128,7,2058202.5357297424,2.0582025357297424,407.5696076735126,1151,3,0
2,256,7,2909648.962717774,2.9096489627177737,288.30309454803006,2573,12,3
2,512,7,3215029.08167777,3.21502908167777,260.91857295494157,3814,55,16
2,1024,7,3118869.030287092,3.118869030287092,268.9631375520705,7248,199,59
2,2048,7,2584975.3235524907,2.5849753235524906,324.5140455914167,12580,910,273
2,4096,7,2140410.4049708005,2.1404104049708006,391.9158671869023,21478,2635,790
4,128,7,3132748.1236802535,3.1327481236802535,267.77154334850667,1066,3,0
4,256,7,4287195.721697639,4.287195721697639,195.66655092383533,2463,13,3
4,512,7,4730509.099116744,4.730509099116744,177.3299199776675,3653,58,17
4,1024,7,4388368.051124974,4.388368051124974,191.15552529486558,6295,166,49
4,2048,7,3900597.2153090723,3.900597215309072,215.059580288792,11722,909,272
4,4096,7,3446646.109015242,3.446646109015242,243.3846625001123,19411,3763,1128
8,128,7,4659722.028717615,4.659722028717614,180.02378571729093,1067,3,0
8,256,7,5441180.461752776,5.441180461752776,154.16889880725927,2127,11,3
8,512,7,6187818.1092328485,6.187818109232849,135.5664929368779,3324,43,12
8,1024,7,6133015.375903697,6.133015375903697,136.77787329473216,6041,225,67
8,2048,7,5335952.992640182,5.335952992640182,157.20918103233498,9210,840,252
8,4096,7,4723562.866368002,4.7235628663680025,177.5906923929667,16024,2595,778
16,128,7,5562655.129190216,5.562655129190216,150.80223032307904,912,3,0
16,256,7,7025234.179559121,7.025234179559121,119.40680958946254,1843,13,3
16,512,7,7227803.680992489,7.227803680992489,116.06026353565977,3419,52,15
16,1024,7,7552534.1126755765,7.552534112675576,111.07011070524294,5491,207,62
16,2048,7,6514792.02240641,6.514792022406411,128.76248345532673,9856,840,252
16,4096,7,5656386.148719713,5.656386148719713,148.30331203428727,16665,3340,1002
32,128,7,6607710.643781206,6.607710643781205,126.95180603731296,958,2,0
32,256,7,7781561.5389419915,7.781561538941991,107.80108796955611,2015,14,4
32,512,7,8325141.624881364,8.325141624881365,100.76234589125731,2854,56,16
32,1024,7,8053083.452242074,8.053083452242074,104.16641091263635,5874,170,51
32,2048,7,7118704.355994536,7.118704355994535,117.83897153891635,9555,663,198
32,4096,7,6404585.621688508,6.404585621688509,130.97815370900489,14410,3141,942
